,R^2
0,-0.0002827235307312215
1,0.0004012876191662462
2,-0.000817039183595214
3,0.0006900098053584935
4,0.0021194026100299634
5,0.002009428717860029
6,0.0017436709323187527
7,0.001634420045358853
8,-1.3626975108982364e-05
9,-0.0005599208568239922
10,0.0029285701320990176
11,0.0012133541915548829
12,-0.0020826623693255275
13,0.0027573969755113614
14,0.002407485927332309
15,0.0005048806793983562
16,0.00018789822120923727
17,-0.0015492554162696015
18,0.00010296162329204162
19,0.00022358792325816168
20,0.0013208027116897725
21,-0.00022817990482049133
22,0.001340818520458531
23,0.0025751409345750043
24,0.000653651692235413
25,1.6611971482838328e-06
26,0.002855007403916976
27,0.002451420570755425
28,0.0017638391892125238
29,0.0013334359163819087
