,R^2
0,0.3199321055331146
1,0.21590662357735613
2,0.2795215184185592
3,0.28129500682450803
4,0.2634842119045261
5,0.2680334900935625
6,0.23830429679756482
7,0.3375238447621661
8,0.26887818376483463
9,0.27005822629681453
10,0.3045299864226455
11,0.2664379971871488
12,0.27841131485136983
13,0.25069483907384993
14,0.23999245011694947
15,0.23234007679565427
16,0.3064479967972512
17,0.25372626801831233
18,0.30447000968645954
19,0.2446144744484079
20,0.2508349704860837
21,0.2846108812343898
22,0.2729136739659983
23,0.29155615130450296
24,0.26423150281126195
25,0.28395358426400985
26,0.2829147017530055
27,0.2555882873431421
28,0.25106399635562815
29,0.33369071568988196
