,R^2
0,0.002658107989414127
1,0.0016627772686639286
2,0.0020998325167108645
3,0.0012517600467802925
4,0.0021971494328212327
5,0.0026676176828058784
6,0.0028476743481633537
7,0.002534837521971478
8,0.0018742127856998803
9,0.0019474595572679387
10,0.0021561650389797515
11,0.0018349749309438668
12,0.0020354796592281232
13,0.0017802993979635362
14,0.0026807861181430415
15,0.002516910890090318
16,0.0027027170251097132
17,0.002015198427556042
18,0.002489779279678417
19,0.0020237544533485696
20,0.002021699293865087
21,0.001028096598566286
22,0.0019331963453814716
23,0.002286639067612173
24,0.0024910225419574328
25,0.002086797905422988
26,0.0025739612710300452
27,0.0025925671816739992
28,0.001833480999130055
29,0.0012674465318415207
