,R^2
0,0.011558783574330711
1,0.010430847146031264
2,0.01231431016922302
3,0.0075022871201353425
4,0.0066414975157824685
5,0.007699115280434099
6,0.011544290943480862
7,0.012847043072962694
8,0.005464433619065567
9,0.014052222168849826
10,0.008112445923102007
11,0.009132423618363084
12,0.009868211907426039
13,0.0054384424322651
14,0.009341138729701992
15,0.009337897374898874
16,0.01419969930522813
17,0.006041746531923686
18,0.013036101439571235
19,0.011058768806762709
20,0.007512220146127291
21,0.009773983790028584
22,0.012165435606593555
23,0.013930275683585736
24,0.008746695256697357
25,0.01040610456499469
26,0.008466982490750286
27,0.008282073723729244
28,0.01296290546767842
29,0.00922094111630567
