,R^2
0,0.00967252399481211
1,0.009879326901488183
2,0.005799855557015787
3,0.014807163979185356
4,0.010084299714499423
5,0.01170223906367407
6,0.0171019270956404
7,0.008235419869515037
8,0.012369232223061855
9,0.010721373504859133
10,0.015726947592590634
11,0.009038490510476782
12,0.013061965378305063
13,0.017150216142561847
14,0.01582780922298621
15,0.009958691109407836
16,0.011314232060831708
17,0.014143664122160393
18,0.0168790770707844
19,0.013480502402606342
20,0.008925539676731375
21,0.014651769571453865
22,0.01113311174819609
23,0.013279698826376696
24,0.009489359182602741
25,0.015347373353639227
26,0.010401164711325572
27,0.013916094456382644
28,0.013389384451308106
29,0.009135543681556002
