,R^2
0,0.001359282172771481
1,0.0037728681109598927
2,0.004805609371912878
3,0.009099055533933198
4,0.0027839215596163758
5,0.007158789722018999
6,0.005351665561618368
7,0.0015277448506021418
8,0.005916826872382375
9,0.004552076902049285
10,0.006860006825939902
11,0.0015588372719872456
12,0.004323386541867258
13,0.005857146899788113
14,0.004102376598836166
15,0.005322405455829404
16,0.0008756528686664211
17,0.005985549761202247
18,0.005318125316058353
19,0.009068201305174828
20,0.008642495001462747
21,0.003977702121156668
22,0.0032275359355279365
23,0.0065408218383646854
24,0.005370974611317081
25,0.008013755996024496
26,0.009511083771910345
27,0.005302150907255054
28,0.0037395743859027775
29,0.0019196357052879698
