,R^2
0,0.0034979887410881982
1,0.002476381080452228
2,0.003543620550408022
3,0.003235566047805727
4,0.00187784259236079
5,0.0031517345526630436
6,0.002468067928794726
7,0.0033898691443201567
8,0.002854428437379486
9,0.001652329393503571
10,0.0030789336494680963
11,0.0027143399734886886
12,0.0023604056834116705
13,0.0025469562788669187
14,0.0019552855043957207
15,0.002342247714496981
16,0.00361077121918163
17,0.0014852513069284479
18,0.0016388356067865706
19,0.0021136333176716704
20,0.0014967160285134229
21,0.002055610948422215
22,0.0028430782736976745
23,0.0028357888332881664
24,0.001481212350588068
25,0.0024969295939013536
26,0.0025332724482313163
27,0.0033551604792926293
28,0.003114842792883321
29,0.0005157138673829165
