,R^2
0,-3.6928384238965606e-05
1,-0.00038210732775312284
2,-0.00024986725322406755
3,0.0002604957874513536
4,-0.00024117392619837918
5,7.214651135667438e-05
6,-0.00012974887872829743
7,8.104186261959079e-06
8,0.0003317951374096628
9,-0.0003914179407907836
10,-8.599214612747819e-05
11,-0.00015516559169959088
12,0.0003625134055916801
13,0.00047267416395579964
14,7.048866780035024e-05
15,-0.00014486465242269375
16,-0.00017510983137114522
17,7.803073269818661e-05
18,-0.00028672098590210027
19,1.2384883590899065e-06
20,2.6472786200160137e-05
21,0.0001930317808865878
22,0.00014568541660897605
23,0.0004684168953370538
24,7.696904977516628e-05
25,-0.00024186265194026113
26,-0.0006913118496864046
27,-1.6823323825021497e-05
28,0.0002999663372672545
29,-0.0003841861825010229
