,R^2
0,1.1605565911287918e-05
1,0.00034497143708456246
2,0.001227720246635089
3,0.0017005391071892584
4,0.0005401643764521014
5,0.0017088597870329458
6,-0.00026915043385300486
7,0.0009597866533967991
8,0.0008391495220649858
9,0.0019865054576990726
10,-0.00021239987818388872
11,0.0022295071055058457
12,0.0008239978711978013
13,0.0009237285448263632
14,0.001141308880003078
15,0.0021173117625296056
16,-6.422441634390541e-05
17,0.001064802357939043
18,-0.0005756483589113293
19,0.003175050372082433
20,7.830196032920789e-05
21,0.0021015695283645996
22,0.0013975829861412326
23,0.002602117778181201
24,0.002347748734302324
25,0.002322369945389813
26,0.0005900873489650404
27,0.0001995897997610907
28,0.0006868938134568792
29,1.546153484222046e-05
