,R^2
0,0.01582834123197352
1,0.01217454143003005
2,0.021386323784421735
3,0.020980611587837927
4,0.017628482616689034
5,0.02008218162810893
6,0.01282957186766398
7,0.012273884287158476
8,0.012061172886080884
9,0.018050009953284984
10,0.014275816358349402
11,0.013835293880247068
12,0.021763846844093715
13,0.00656167278556985
14,0.015694922083011376
15,0.013775949110351626
16,0.016153048375597945
17,0.020061640116017188
18,0.01676172076475324
19,0.01820783897853906
20,0.01665708246511355
21,0.012885035938859701
22,0.017942751276814883
23,0.010265534652809771
24,0.016969744904187123
25,0.010120359873748486
26,0.017577565426637798
27,0.021915457070914135
28,0.017800047555711296
29,0.018380863100905476
