,R^2
0,0.002271526437959137
1,0.0025712257318782905
2,-0.0009813056746483806
3,0.0020998742990935293
4,0.008676212686295925
5,0.0037950079421886773
6,0.0018491550375020482
7,0.006273766806009551
8,0.003997406765624101
9,-0.0025977348944372647
10,0.004435449600413088
11,0.0010539679359243825
12,0.000473814047142751
13,0.0012154544185428717
14,-1.8013712438369467e-06
15,0.002353590246694681
16,0.008472741042184428
17,0.00356976407263343
18,0.004107217830201182
19,0.0006962328197880341
20,0.004753603928380312
21,0.001007932287572677
22,-0.002353866738286081
23,0.0024264356883952898
24,0.001559391616065442
25,0.006199344806403051
26,0.0037472598763275133
27,0.005098657113712601
28,0.004585041189208772
29,0.0040710752880606105
