,R^2
0,0.003106826379325245
1,0.002937030714441402
2,0.003483915172004637
3,0.0022821616530549482
4,0.002240009394596565
5,0.00399141796893232
6,0.0033396396176800236
7,0.0030839737463580486
8,0.0020353659492261533
9,0.0021580978626988268
10,0.002618927278828953
11,0.003013814908039647
12,0.003662506421826861
13,0.0023051650670674606
14,0.0012885181555114533
15,0.0018966581293781148
16,0.003414184925862984
17,0.002674175840322368
18,0.0029694693000377193
19,0.0035723766315949312
20,0.0030626253427527006
21,0.0024389584025237276
22,0.003424614850795371
23,0.0020136808386819194
24,0.0018759250404681849
25,0.002535593084054266
26,0.0014684125083872512
27,0.0012157342641101465
28,0.0030507077606597433
29,0.0022006092777944186
