,R^2
0,0.010352644488995977
1,0.0053888894815184996
2,0.00645474824726644
3,0.006370510902115156
4,0.00773886518169109
5,0.007376869162868949
6,0.006322213948570354
7,0.005229230847520472
8,0.00974235708449711
9,0.006243408026768926
10,0.006662768249784623
11,0.00921528095188906
12,0.00982934253383494
13,0.007372503323537338
14,0.006045247242730256
15,0.009078852597832143
16,0.007260022877477734
17,0.006294143983803346
18,0.008269370723729685
19,0.0077157581458037194
20,0.005876932247274147
21,0.006863866078552938
22,0.006365273359964396
23,0.008605578538662395
24,0.007300014270760546
25,0.009368598671427697
26,0.004726956362099188
27,0.009627671184236686
28,0.007421815637153051
29,0.00826128286593042
