,R^2
0,-0.00033086240077717655
1,0.0018712815332432298
2,0.0019759253341157246
3,0.0022939288141482495
4,0.004127891705879461
5,-8.800170273270957e-06
6,0.0025984343471102678
7,0.0011471714710454828
8,0.0012817771767132946
9,0.00013596586399944321
10,0.0006491537089782229
11,0.0007178097004786332
12,0.001416219939167962
13,0.0017613479796066978
14,0.0009470954628316708
15,0.0025664687805441178
16,0.0018120537763455236
17,0.0012864123779201542
18,0.0024001561760066403
19,0.0013448417797496948
20,0.001905070959599131
21,-0.00022767000058232512
22,0.0021582911643329705
23,-0.0005090799873718188
24,0.001490800527783498
25,0.0006881953764276139
26,0.001594823870945894
27,0.0005241281337111658
28,0.0026451357173752355
29,1.7461057472245578e-05
