,R^2
0,0.00027081018665342516
1,0.0006619709125155193
2,0.0009418702353257702
3,0.0009527129515545241
4,0.0006578711890126154
5,-8.779621773558066e-05
6,-0.0004216032737974773
7,-0.0002469286100739154
8,0.0005515699447841138
9,0.001161508857209892
10,-3.717788720891679e-05
11,-1.6931370494410736e-05
12,0.000739681994505581
13,-7.684262030283051e-05
14,0.0008661617161331847
15,-0.00011411806863970142
16,0.0007066368914863119
17,-0.0003833957464086657
18,0.00027093379232157044
19,0.0010597446577425007
20,0.0005969116186991252
21,0.0007138839242561978
22,0.0003413701884333875
23,9.676891327581316e-06
24,0.0004103316753217845
25,0.00043160203171632716
26,0.0008001788286026157
27,-0.0002748396903561323
28,0.0005096878815140649
29,0.0005654531879822899
