,R^2
0,0.019314931244782785
1,0.017916926208729644
2,0.019076674282395678
3,0.016136374314578927
4,0.01133956468917574
5,0.014241424897643684
6,0.016334703249782367
7,0.015345184467189132
8,0.008423964919391125
9,0.01269154762164637
10,0.012301288927472398
11,0.018007446359294077
12,0.015344860284134731
13,0.02312027045540821
14,0.020128663856710527
15,0.021208206998662327
16,0.010483172916952221
17,0.02023987259836868
18,0.020626805832879347
19,0.020612379898254263
20,0.012075013999235495
21,0.013995324901004191
22,0.014176478485465105
23,0.012629423741198242
24,0.011194627994831508
25,0.01683338564259229
26,0.011576610246898933
27,0.021559168859522804
28,0.01169769691415068
29,0.016852004118020902
