,R^2
0,0.01446692466494437
1,0.016093164210285504
2,0.012430070489005685
3,0.012821577835713915
4,0.013166003113824098
5,0.010756228933372247
6,0.011767920697222656
7,0.011064148992648626
8,0.010727701718748706
9,0.0169332632375081
10,0.00946794090033165
11,0.00977987362687871
12,0.013268858298906117
13,0.008723114790342157
14,0.012419211749859382
15,0.014475681365740845
16,0.011744201768627893
17,0.019223812850391542
18,0.011616823545833155
19,0.011624068116374953
20,0.010658633025413145
21,0.014662883635457646
22,0.010884214124755154
23,0.013621036893054717
24,0.013423909279787316
25,0.012027589353268309
26,0.01159251894699953
27,0.01773094343787096
28,0.009355683354251187
29,0.013150273051015682
