,R^2
0,0.008448184874566222
1,0.009022882050034098
2,0.011130784926286275
3,0.0077938980016309944
4,0.010084638953498426
5,0.009543160136705975
6,0.01062999638702844
7,0.009014540805936
8,0.0074628287322707765
9,0.009271441761548593
10,0.009037223648535764
11,0.010145880899235293
12,0.009345491181566135
13,0.009280021872568378
14,0.010086290593128044
15,0.011552578141997838
16,0.009258759927241234
17,0.010980438660404324
18,0.010006475757795341
19,0.009327188320462532
20,0.00808569681732807
21,0.008918940550024512
22,0.008906542399946815
23,0.008408472666187938
24,0.008786831242992732
25,0.009918108466051678
26,0.009988541747064872
27,0.010470348310533284
28,0.010016468928682243
29,0.010602377466121582
