,R^2
0,0.022084304534023103
1,0.019233751971069468
2,0.018080142014001654
3,0.0178376731535701
4,0.015385005033204724
5,0.020426291844304445
6,0.014792808682400849
7,0.017510967525186327
8,0.01008087870570129
9,0.01205084141335433
10,0.016744697429917466
11,0.009446703649398924
12,0.01176567978955978
13,0.01750622260365131
14,0.014008683201333305
15,0.017413907363701076
16,0.016943920299248294
17,0.014636569180601744
18,0.015946292594767875
19,0.011541589109386075
20,0.018709074279323334
21,0.015241325884424728
22,0.0189796593472501
23,0.018648183621753467
24,0.013415249743831459
25,0.0180025103022049
26,0.01987019646123145
27,0.01569863794004689
28,0.017145047771622512
29,0.012829298636265696
