,R^2
0,0.00299927699487168
1,0.00362568528372631
2,0.0031185702560082573
3,0.0035773636782528984
4,0.002551246309931643
5,0.0015140343528069478
6,0.0025071792799732373
7,0.0010569697554975166
8,0.0012104775364775167
9,0.002987403530056887
10,0.0034390639823951297
11,0.002367061354325739
12,0.0020050441337257086
13,0.0003615257990813303
14,0.0007665373941557752
15,0.0008058251576620323
16,0.0015094048032174845
17,0.0004462382800648479
18,0.0027865098849692016
19,0.0013312411423226367
20,0.0007397734020221369
21,0.003681989008402553
22,0.00276860913947774
23,0.0024916038907928373
24,0.0011278119501935135
25,0.0025240195062560256
26,0.002712949284167765
27,0.0028104209357330268
28,0.0036281169321812357
29,0.0026280210824533023
