,R^2
0,0.01827652859511364
1,0.016216474208979537
2,0.01418512043033282
3,0.01569280025090114
4,0.01300736984326778
5,0.017525106540392188
6,0.016568942159240985
7,0.009165922751191768
8,0.014665182326077386
9,0.014585576330677252
10,0.016067250428741797
11,0.016110146731356467
12,0.018261846432585882
13,0.014822591460147083
14,0.015927342796542954
15,0.016068852317914217
16,0.01393088772920592
17,0.014232316092316788
18,0.01422104190867024
19,0.013609773843668238
20,0.015482554955204342
21,0.01431538522227438
22,0.01795377713133417
23,0.012541494825982324
24,0.011807206733347342
25,0.013904554319975393
26,0.015803742803811027
27,0.015992482015173115
28,0.01733514432017569
29,0.015163816851807566
