,R^2
0,0.0034367165153492696
1,0.0068349084952620265
2,0.0019492130199566526
3,0.012262875958373498
4,0.0018476740709956196
5,0.0045476958268592105
6,0.005638259213940122
7,-0.00022693998399203608
8,0.001341144654925519
9,0.007275049999876382
10,0.008786681376807826
11,0.007509822299838875
12,0.0028962537669992017
13,0.0016843696389271523
14,0.0006144981524593973
15,0.001530404423686127
16,0.008088352210076422
17,0.003127499840006265
18,0.00391846452226996
19,0.0028000357341724236
20,0.003728942752567632
21,-0.0010092707593019057
22,0.006091730183812594
23,0.0015063552907896849
24,0.0029365362720196186
25,0.005158455232312731
26,0.006802593112204103
27,0.003653034231195562
28,0.002803116480543988
29,0.003569896495952518
