,R^2
0,0.009986583680559602
1,0.00912859291441348
2,0.013708765642134635
3,0.007619379596007891
4,0.010302690278656712
5,0.007798272388848115
6,0.007571712281553178
7,0.00947234604665137
8,0.006825648406274865
9,0.010521800846771456
10,0.0126493562552622
11,0.006022127066147465
12,0.00830924770049235
13,0.0075544824064359695
14,0.007945177550291116
15,0.012624774044972198
16,0.00772994182229525
17,0.008567367943255855
18,0.011787414116962935
19,0.004838855994553137
20,0.010941598392420815
21,0.011745882316346767
22,0.00929992603033647
23,0.013252435148862207
24,0.011644690761592025
25,0.008162316327829267
26,0.007832810275459456
27,0.009943867061588563
28,0.011452873010831754
29,0.009301184880083024
