,R^2
0,0.1998226008543983
1,0.19803713730219563
2,0.17866938760677253
3,0.21746380235828888
4,0.16951529889323713
5,0.23160529984970757
6,0.19905900463357173
7,0.17777830378770876
8,0.1883246832106622
9,0.2347399405156786
10,0.1672069049302587
11,0.21662747524402826
12,0.16412314174193754
13,0.1695919631685695
14,0.155711153775538
15,0.2449924007120301
16,0.18142326587664837
17,0.1680660969224963
18,0.2143064784675297
19,0.18699557048867166
20,0.1598411418123401
21,0.1599003695797917
22,0.1925325073195434
23,0.13319556915510944
24,0.17483584794102758
25,0.15805072480822624
26,0.20113785908970927
27,0.20121386275412656
28,0.18329582895919838
29,0.16782561085032222
