,R^2
0,-0.0009763789136759682
1,0.0021178103543192384
2,0.003755310079095686
3,-0.0007113558186303548
4,0.0005417559791615068
5,0.0013021704425134617
6,0.0009048008595627932
7,0.0027822860637246594
8,0.0016959132625989914
9,0.0019539218216444443
10,0.004624732519386332
11,-0.00010715650383708031
12,-0.0028141435112514213
13,-0.0011722190422976952
14,0.001803550195073611
15,0.000561832451911437
16,0.0010294589445095648
17,0.000852127333872077
18,-0.0014054292870612217
19,0.0007143682323179634
20,-0.0017783172500512867
21,0.0019148966600371908
22,0.0008790846956767684
23,-0.0010097593151466855
24,0.0011644599208334716
25,0.0033273799838737794
26,0.0020851179651972807
27,3.136711487194965e-05
28,-0.0022893207727120446
29,-0.001939622173931732
