,R^2
0,0.0028696208869115614
1,0.002417482576639207
2,0.002440476117630097
3,0.0033606739758730297
4,0.0031125980083536176
5,0.00386581366827099
6,0.0033736392410503857
7,0.0026371422179598536
8,0.0029045493888907314
9,0.0027890384510380617
10,0.0029236306789575117
11,0.0031462697553706898
12,0.0033788173132230925
13,0.0026121333165910476
14,0.0037385163250664988
15,0.002618637810789304
16,0.0033862918689595567
17,0.0029616733009654173
18,0.0028503847709246966
19,0.0028968726748912488
20,0.003449254176266292
21,0.0022854255926402223
22,0.002226517062437372
23,0.002637147112146021
24,0.002872305182224588
25,0.0025803243534709974
26,0.0028691567583134514
27,0.002575232107993708
28,0.0026338716613496516
29,0.0027716654264630103
