,R^2
0,1.0737189054522598
1,1.1098665158456433
2,1.2993987509859986
3,1.183597945130867
4,1.183363364034735
5,1.288527599611044
6,1.2272452089105657
7,1.177612764333818
8,1.2010767828023523
9,1.2413903353593254
10,0.9889464262636585
11,1.2579702640612958
12,1.3017694697959046
13,1.15190900511344
14,1.065716708819269
15,1.1496001103152158
16,1.2126454449907202
17,1.2437658912359406
18,1.085815545353559
19,1.1619192658553124
20,1.1762730438849462
21,1.1590006706908924
22,1.1647791606500584
23,1.1949808855789719
24,1.288292061008843
25,1.1859900848254945
26,1.1657881036755806
27,1.11544030912674
28,1.142725269381776
29,1.166138808139767
