,R^2
0,0.13975921415244996
1,0.16546616487924726
2,0.1498081516724843
3,0.16052872225419346
4,0.15273511510659787
5,0.15066512730312853
6,0.12481289594388945
7,0.1716286145874315
8,0.15784386453856503
9,0.12485613011751373
10,0.17593383717905353
11,0.12853028168517522
12,0.1492404777319124
13,0.13228616103139124
14,0.14193263705186276
15,0.18105853787038095
16,0.11996877230682967
17,0.1480563709427124
18,0.16571255332138501
19,0.1852488330144223
20,0.17346447896368222
21,0.1468398611716778
22,0.16141754406553388
23,0.16339684216624895
24,0.2049038278056955
25,0.1456807082735011
26,0.1384220338341715
27,0.1636765144243284
28,0.16289829483828755
29,0.14826174114848345
