,R^2
0,0.0022051667197415803
1,0.006269562843853049
2,-7.946730980867844e-05
3,0.0008026576950791453
4,0.00013797175283247753
5,0.00345785047193381
6,0.0003636506273095863
7,0.0004522909101817296
8,0.002641405021172716
9,-0.001241226988441757
10,-0.0017312886780784797
11,0.0012801546889943394
12,0.002838283301952571
13,0.004854908206756492
14,0.00033631088674535015
15,-0.0011911007132836549
16,0.0036364515120033136
17,0.0006637318506359513
18,-7.291760608474362e-05
19,0.0003320481801303288
20,0.0008876198394204282
21,0.001823591181490114
22,-0.00025856724506245765
23,0.003667287868130309
24,0.002296101425453889
25,0.004228621140458411
26,-0.00029813137830714265
27,-0.0007180146871931248
28,0.0009690619362302533
29,0.0026672908915339466
