,R^2
0,-0.00020806727472033604
1,-0.000342717951603122
2,0.00017792473476530013
3,-8.294019938148711e-05
4,-0.00021993490721694542
5,0.0005074028248526208
6,-0.00017566348621622652
7,-0.0003028098125348322
8,-9.383374974003544e-05
9,0.0003250344021779039
10,7.545022759691822e-05
11,0.00032634089460570337
12,-0.00016914465418582658
13,0.0002856270051905252
14,-3.125492732136692e-05
15,-0.0002478272365580292
16,-0.0005407063852659322
17,0.0004244865818613386
18,-8.687954330066638e-05
19,-0.0005147015477251493
20,-0.0004372030783471592
21,0.0003243171719202742
22,-0.0005701101546617959
23,-3.6986216311096776e-05
24,5.787529985812334e-05
25,0.00024753981419312066
26,0.0004160504177480595
27,-0.00024082945552705848
28,-0.00033492392901401935
29,0.0004015158410721753
