,R^2
0,0.03098795780829866
1,0.03812741845235301
2,0.03146313759060959
3,0.037599838629836735
4,0.03261141833559389
5,0.014658249600639328
6,0.029737135485449095
7,0.02790639558335506
8,0.03400408119491605
9,0.02234845528988172
10,0.034268492025608555
11,0.02582686214630181
12,0.03481367655041434
13,0.032681234322840536
14,0.03620786235136053
15,0.03292741828198986
16,0.027258235338323944
17,0.02494918137191815
18,0.024929083377115968
19,0.02317518666798435
20,0.028891365660947743
21,0.03168322040669025
22,0.03500006302770864
23,0.02659833023251934
24,0.024871869399386126
25,0.03705467924112005
26,0.020899825191815213
27,0.028025449612621656
28,0.033225228426886355
29,0.03664291605043324
