,R^2
0,0.00822155785157841
1,0.008454562519102926
2,0.007511650362240219
3,0.004158376941853281
4,0.010924599423015713
5,0.009320651674134761
6,0.004383670325300626
7,0.009558407045907158
8,0.004663042043127175
9,0.011202713319497515
10,0.007852963084848952
11,0.0064865896503668585
12,0.005715201382265778
13,0.008530117658312464
14,0.007066962690999268
15,0.0049188789183474135
16,0.009268570983294588
17,0.006393534298463344
18,0.012852086320329081
19,0.005434200782984289
20,0.008265635975485686
21,0.005973954388024394
22,0.007838965193712522
23,0.0038176075606247695
24,0.0049630008595307196
25,0.0020974044598329744
26,0.005890683096288263
27,0.008491308066775782
28,0.0052575826922600655
29,0.008688216898196544
