,R^2
0,0.018885722458372944
1,0.01946611590925995
2,0.018388180038162227
3,0.02241863602120675
4,0.023935003897008644
5,0.02689150546529595
6,0.019357203296549996
7,0.024818038375969298
8,0.01835899701987309
9,0.011518143006881032
10,0.01947449742212315
11,0.009768324663541939
12,0.021616284010980258
13,0.02617460693930096
14,0.013852482085167872
15,0.02053966443997346
16,0.022497725786110312
17,0.023766872826032626
18,0.01738894106259048
19,0.024511447228191985
20,0.014473653806442721
21,0.012518468741737121
22,0.017822433759811074
23,0.022033768154557154
24,0.015255582358255304
25,0.024096369104407156
26,0.017415019418980604
27,0.026646268775192827
28,0.014012957369174406
29,0.01643104637021775
