,R^2
0,0.012461385084651777
1,0.015910395382908837
2,0.004625675205464752
3,0.01893835356068385
4,0.005716142398341062
5,0.03132742761667684
6,0.01495910450389426
7,0.016140968582474824
8,0.021272087199629586
9,0.003150765067907235
10,0.007989187425708755
11,0.01268771055087825
12,0.016792403661729627
13,0.02553850415073089
14,0.01643039463109286
15,0.016414250445063394
16,0.007272236375856611
17,0.02507967582463988
18,0.01515390978256137
19,0.026402373961454173
20,0.015423758762750484
21,0.012907863996784452
22,0.01247455036107592
23,0.026164026524028938
24,0.020382699469929544
25,0.02071961448008197
26,0.0169528093568746
27,0.023489471659480454
28,0.02037885287096053
29,0.013751690582803455
