,R^2
0,0.012347311568027819
1,0.017316661162463443
2,0.021699303475529952
3,0.02791068986710743
4,0.001264996743838731
5,0.010390694126380051
6,0.06385872057119268
7,0.06554991899636475
8,0.06311298771405482
9,0.015120943080822014
10,0.04496261233542853
11,0.015568154841443915
12,0.04380111068585679
13,0.012198212497422367
14,0.02346364471324236
15,0.007185570495398919
16,0.017617390055192805
17,0.02085751106603273
18,0.020524415949339625
19,0.019102979078626015
20,0.02224144463721134
21,0.015041498515784069
22,0.06171554043208716
23,0.01731182917167795
24,0.014509375195803309
25,0.020242350747277538
26,0.012935871252648057
27,0.04726641741012094
28,0.010464944762759054
29,0.050483563427941136
