,R^2
0,0.49917868130029786
1,0.48032874743999665
2,0.6774703441833099
3,0.5804880872823532
4,0.7801780141139802
5,0.3161147472123147
6,0.5249604547404929
7,0.29157904096214615
8,0.5853488595806298
9,0.4374612575386082
10,0.6857414780451445
11,0.7780320402581276
12,0.608841455583877
13,0.4845528089668122
14,0.6526110501643285
15,0.5002509027601586
16,0.483688711336805
17,0.5253253928576638
18,0.38729885154089494
19,0.6922854919882004
20,0.54717077428421
21,0.5018169834723454
22,0.668079634360363
23,0.5175821807168429
24,0.33997282252368444
25,0.5814186670618411
26,0.375956587439334
27,0.6265879301065098
28,0.15733449889110473
29,0.5035218490590571
