,R^2
0,0.01089079168096685
1,0.0025329574934042087
2,0.008170861618979841
3,0.008616078786773063
4,0.017122419521567234
5,0.019193460903665804
6,0.00626435034905104
7,0.004387189367632716
8,0.0009960045442928278
9,0.0009032328247190469
10,0.005226115288321398
11,0.015805384907815023
12,0.014747626393387447
13,0.01508546846173342
14,0.012497619825834305
15,0.009661878780926614
16,0.009969642023482606
17,0.00442095408543397
18,0.012276540989266005
19,0.008114964394979496
20,0.015218116808955906
21,0.02184067844460158
22,0.02221600328877016
23,0.014938130382322612
24,0.007045736195464114
25,0.01182871263334706
26,0.00435854604638275
27,0.01050611658463907
28,-0.0020534389986122115
29,0.008326221154120073
