,R^2
0,-0.012778460178595186
1,0.007049200914809539
2,0.0047549396917316855
3,0.031279394376587666
4,0.0033845328479018555
5,0.006868154231844836
6,0.0009577430699498901
7,0.00687465970110801
8,0.04882395916191773
9,0.0017906080425933446
10,-0.0019387091829996539
11,0.011314908048843275
12,0.0047193765479847105
13,0.027345449994652604
14,0.011520416818428858
15,0.04412548136081562
16,-0.010643513997526388
17,0.01399680013171456
18,0.017977522080078412
19,0.0220998573556197
20,0.0009185148791883702
21,0.019180664958774685
22,0.0018966125083639263
23,0.042561896022461077
24,0.04860353915726168
25,0.0399901174683569
26,0.017841912386757253
27,0.01632498275336547
28,0.018353727577195444
29,0.044778354832544776
