,R^2
0,0.0020421129150327566
1,0.005343741818091052
2,0.0021762265642794043
3,-0.0070073656585474264
4,0.002784824431386168
5,0.008432926506751759
6,-0.0022978329686931254
7,0.00520522536271395
8,-0.00015533885597207586
9,-0.0030039897503510993
10,-0.0017267289958025067
11,-0.0037583666357925427
12,0.001176246380123258
13,-0.005846446971456087
14,-0.00468747104340439
15,-0.00019101538665522444
16,0.0037725198541853633
17,0.0036897497590147044
18,0.0011302564590913722
19,-0.0018333231703857589
20,-0.0021359406904137845
21,0.006351860291577971
22,-0.0027249508240901887
23,0.0015000563730085403
24,0.0004977857525301221
25,0.0030721452341559985
26,0.00988726216600877
27,-0.0016114827556445999
28,0.0017797242872781283
29,0.0014714743895771765
