,R^2
0,0.007543744348931569
1,0.015911139430591414
2,0.0069425669114376864
3,0.009944457410226648
4,0.00759863328372945
5,0.008898763787867026
6,0.009438133522178482
7,0.012106534701402993
8,0.01438125438565696
9,0.005739765991015222
10,0.014277980223814768
11,0.011757006991209296
12,0.012282588978928088
13,0.006689099385684738
14,0.007989350743664136
15,0.010020330220149365
16,0.010986570749196733
17,0.012516512955425108
18,0.009573519316908308
19,0.013361950553260393
20,0.012309593584275191
21,0.003210155684880145
22,0.0052100372755726765
23,0.012680739004433561
24,0.01570164190421719
25,0.014165349514875358
26,0.008914892279444309
27,0.01277198724703521
28,0.008112312043415448
29,0.005918319176204778
