,R^2
0,0.01761406216924377
1,0.007175480355875119
2,0.013368461678666677
3,0.010945415402158765
4,0.022513183891598176
5,0.013022179446347648
6,0.015881345161725346
7,0.03831342700527873
8,0.008572993712932742
9,0.013381417810269802
10,0.013008145886763245
11,0.007965631543989327
12,0.019451670970069834
13,0.005614953259581501
14,0.01719357842199898
15,0.008788123628664435
16,0.019170868236308314
17,0.016392105639535748
18,0.01164965952504049
19,0.027797904840944576
20,0.013526050063952022
21,0.006694969845736143
22,0.02343653828389536
23,0.014291053818931143
24,0.017647208238258383
25,0.018003136543715548
26,0.015370747839378973
27,0.01587191408237465
28,0.015768439461096406
29,0.016458424543764116
