,R^2
0,0.02251379917700591
1,0.008055675506373872
2,0.019965404889589866
3,0.024406218953617942
4,0.014458797251511224
5,0.02591643444632341
6,0.012882675288028334
7,0.008834573031100579
8,0.017787070719741505
9,0.029766539939852787
10,0.021386238960785953
11,0.004904953195333239
12,0.008173239457252013
13,0.007496131121921601
14,0.01814170680376992
15,0.015884760353910288
16,0.02161465353748293
17,0.013851627801619526
18,0.007167954247768726
19,0.01877231797516321
20,0.013856144458714859
21,0.015460082498529704
22,0.0012196061865163976
23,0.020789779812691145
24,0.015892773314578945
25,0.014883268307231745
26,0.022970155052477903
27,0.008564784420954652
28,0.01024090097568675
29,0.017386668441616404
