,R^2
0,0.046921659367683
1,0.12001171333008309
2,0.035713209236892585
3,0.07413620357723971
4,0.020266931980694514
5,0.08031560762125856
6,0.1039549868828773
7,0.11360480502656545
8,0.027284954213616874
9,0.06719581606482672
10,0.034855237345972956
11,0.06798606096212745
12,0.048850740740826404
13,0.0995173454901982
14,0.0738470440429031
15,0.030789403573539653
16,0.08539772903553278
17,0.08331207847450695
18,0.09447458374960349
19,0.07230436586457234
20,0.11101681631284865
21,0.09185017372532722
22,0.0821243775544942
23,0.15518943733131763
24,0.07533476860772392
25,0.07100418238295991
26,0.09368630696660618
27,0.04854129144310515
28,0.11280935902452238
29,0.07646283591860681
