,R^2
0,0.011408473995282664
1,0.010245128398367331
2,0.006345065911553149
3,0.014488155087864496
4,0.007770589134239225
5,0.007998485691524282
6,0.004129331993679597
7,0.010167923367388698
8,0.01302427725568256
9,0.013331088308188077
10,0.0065702395655176105
11,0.0041697145315062745
12,0.007512966926380815
13,0.013666513495746102
14,0.0031267056950323724
15,0.007576635494008999
16,0.008318994280330672
17,0.008231036526431978
18,0.00977706913961185
19,0.009872311620825469
20,0.00016622436471669388
21,0.00968402808530966
22,0.005936773297942177
23,0.006810756884537028
24,0.00991184873524975
25,0.006784923311578872
26,0.015858086693075646
27,0.0020118314729727915
28,0.007363383108571875
29,0.014387374732887759
