,R^2
0,0.011037626081007668
1,0.005194596636046045
2,0.015732692938955073
3,0.020471124901585203
4,0.0033428662753091087
5,0.012898412401099901
6,0.011794940279472699
7,0.01705619950436177
8,0.01594319444808079
9,0.005981992165537187
10,0.005924685460984347
11,0.015634595320124456
12,0.010443100504523906
13,0.008479239416957385
14,0.009742202502354469
15,0.0052523160091366705
16,0.010725536817427828
17,0.01029813532140289
18,0.012715113228376484
19,0.005632452656862186
20,0.016249495849589568
21,0.008329781967012284
22,0.01035545089734502
23,0.010570153582176833
24,0.020248726651927007
25,0.015085020398773463
26,0.01004679784104423
27,0.004211521734948875
28,0.011487596109127751
29,0.0053611087160507775
