,R^2
0,-0.0020076033648736002
1,0.006163480664257981
2,0.016536789364300586
3,0.022458993931322335
4,0.010027465712401762
5,0.01912147624089966
6,0.006251919759849733
7,0.016396270511605082
8,0.024213450708956086
9,0.01081900284195092
10,0.017881186330383048
11,0.019273794764810726
12,0.019372323833905414
13,0.02127023574450726
14,0.02137667212752714
15,0.013086110768790182
16,0.005136924088507411
17,0.006989305943648438
18,0.03304309500094427
19,0.004666303664669913
20,0.010266754258113742
21,-0.00027793683417720594
22,0.028678722060352935
23,0.011907117131706002
24,0.022296801800886112
25,0.025151848548055966
26,0.01870550239430646
27,0.022335001695780066
28,0.01614922320416634
29,0.016917651075749385
