,R^2
0,-1.2119282710720825e-07
1,5.152814464004507e-08
2,-4.952801102575677e-08
3,1.6420284576490474e-08
4,-2.83213230645174e-08
5,7.994965578461688e-09
6,-2.291041489854706e-07
7,-6.3094319768808305e-09
8,-8.294595632563073e-08
9,7.847696026352935e-08
10,5.3786990528159606e-08
11,5.172541406306408e-08
12,-8.08027126319999e-08
13,2.313231284301054e-08
14,-4.699838851429661e-09
15,8.58563934391654e-08
16,1.1497918950276187e-08
17,3.345256094355875e-08
18,5.802314295699773e-09
19,-8.805067253092602e-08
20,-3.883896459999647e-08
21,-4.18391097323223e-08
22,-1.1076572981050248e-07
23,4.455646585022066e-08
24,-1.2483842459776184e-07
25,-1.1379558717550253e-07
26,-3.774720036542334e-08
27,-1.7707128974198127e-07
28,5.952453263624591e-08
29,1.9275372686866632e-07
