,R^2
0,-3.459492692314825e-10
1,-4.1596748268091233e-10
2,-2.1052026788481726e-10
3,-1.111886138716045e-10
4,-3.379976298845122e-10
5,-7.744116459207362e-11
6,-1.065501020747206e-10
7,-3.1992763993571316e-10
8,-3.9753333958003623e-10
9,-1.3652212693671117e-10
10,-3.042683882625852e-10
11,-3.3139180288799253e-10
12,-1.1603185079422929e-10
13,-1.1453504811242965e-10
14,-2.3099988588626275e-10
15,-3.7354386250854077e-10
16,-8.865508327460248e-11
17,-1.9254486893771627e-10
18,1.2117640224573734e-11
19,-4.867328762259149e-11
20,7.028577719836449e-11
21,-1.568007945706995e-10
22,-7.37321315114059e-11
23,-3.047611052409138e-10
24,-3.369571288658335e-11
25,-2.0324075755695503e-10
26,5.926681367895981e-11
27,-1.2181522457410665e-10
28,-3.6910230427622537e-10
29,-2.634101825549351e-10
