,R^2
0,0.02388870408141419
1,0.022820425872121297
2,0.00628341022289014
3,0.01674825606703023
4,0.028211449974607117
5,0.031331374286304614
6,0.017719163767821344
7,0.03943718990082523
8,0.02376473341019336
9,0.030281942394928985
10,0.03017601264860459
11,0.030547436074260248
12,0.02505755559706513
13,0.025823698367310355
14,0.033821941308708414
15,0.015137943298821677
16,0.02635841424218155
17,0.02713925339671608
18,0.028214367253390105
19,0.010015545741893339
20,0.03665691530208037
21,0.013473093531369607
22,0.004826087875926088
23,0.018374083026551302
24,0.024892781541192233
25,0.0144580123429221
26,0.014613399386669279
27,0.004160522802562516
28,0.029785539349439727
29,0.02240793077330694
