,R^2
0,-1.0766265656769747e-09
1,7.68997976408059e-10
2,-1.4355279187583392e-09
3,-2.418145683691364e-09
4,2.906761276122438e-09
5,1.0147926943204766e-10
6,4.164029121511703e-10
7,-2.0412183054929756e-10
8,1.8928130174344915e-09
9,1.6085386356223808e-09
10,-2.04416705784638e-09
11,-1.1321841242306618e-09
12,1.536277993707813e-09
13,-1.7613661640325518e-09
14,-8.330041101345387e-10
15,1.3403476106788048e-09
16,2.138927701622606e-09
17,2.540308630116783e-09
18,1.284916617549925e-09
19,1.5806496111991919e-09
20,1.6136032510161158e-09
21,2.3115573899445963e-09
22,2.0313621895695633e-09
23,-1.0981231479689768e-09
24,2.2121287024390313e-09
25,-1.7020216347418682e-09
26,1.5768240047009385e-09
27,-1.2747267685853103e-09
28,1.987934261649116e-09
29,1.4802232772836987e-09
