,R^2
0,0.04897436458518345
1,0.014548155005889685
2,0.02693169806719853
3,-0.009891131922851737
4,0.035266956007075634
5,0.008941776665061463
6,0.002532299854439035
7,0.04144172341462382
8,0.035811659168314414
9,0.012166084817221035
10,0.014180926044972564
11,0.006524716009863152
12,-0.003191301313532957
13,0.005149483811077271
14,0.012632177047508408
15,0.0017560136179434194
16,0.02547716538132838
17,0.02672708129022261
18,0.022759225187632737
19,-0.005511693318047239
20,0.02140830131514959
21,0.031094844076390737
22,-0.02064917176690262
23,0.01486808291878472
24,0.024184818653109064
25,0.020610599949098862
26,0.028896441766113057
27,0.014452744204080048
28,0.031871460373744
29,-0.025066427137448777
