,R^2
0,0.00866477855304526
1,0.004019310013558486
2,0.007902498145794912
3,0.00827636818427735
4,0.007795194423638074
5,0.004686569671589758
6,0.001927644078309254
7,0.009229901361816784
8,0.010477989774775431
9,0.007778589560452409
10,0.007964359922386866
11,0.0088323923693846
12,0.005751546404044183
13,0.004932246177395072
14,0.005488091038525322
15,0.006632368046210035
16,0.007604121470451086
17,0.00540185089707601
18,0.007727162439785329
19,0.006894852879637425
20,0.001748040179180732
21,0.008296444985610663
22,0.008453439324326961
23,0.009197755588521761
24,0.007224882143624045
25,0.0002544884894345456
26,0.007982884336942386
27,0.007124855286017695
28,0.00673581579603455
29,0.007139739357112429
