,R^2
0,0.23335283375136762
1,0.15357456106294032
2,0.13438164705698197
3,0.11989200444445747
4,0.18124661024574518
5,0.11280836611937128
6,0.11172031995915477
7,0.1477958642760625
8,0.1263559282519474
9,0.1520015818942495
10,0.19559020384401726
11,0.17231596526545356
12,0.18713248454070053
13,0.11331770124960083
14,0.17020758617274845
15,0.11837980993468145
16,0.20296370576569045
17,0.15206088433257736
18,0.1982135741242096
19,0.1750964694400089
20,0.11891936103707845
21,0.13504284445341475
22,0.15011876707895688
23,0.18050921401367503
24,0.1891292082041064
25,0.11584476615879369
26,0.14180924413160523
27,0.18747487251461248
28,0.1388219921085182
29,0.1522924833985032
