,R^2
0,-2.1148194306874757e-11
1,-4.740985382056806e-11
2,-8.676837026655448e-12
3,-5.4576343444523445e-12
4,-1.538547067525542e-12
5,-9.700018566149993e-12
6,-6.971534460831208e-12
7,-5.448308471045493e-12
8,6.767919558114954e-13
9,-2.1538992811542812e-11
10,-1.6829870830292748e-11
11,-2.1113111259296602e-11
12,-5.381095569134686e-11
13,-9.583223103959426e-12
14,-4.653832874623731e-12
15,-6.58231247285812e-11
16,-1.2573497798484823e-11
17,4.051425861462121e-12
18,-2.403233168024599e-11
19,6.221689829999377e-13
20,6.076028569168557e-12
21,-2.1073587319619946e-11
22,-1.6748824549495112e-12
23,2.7489122089718876e-12
24,-4.0983882954037654e-11
25,-3.321254382626648e-11
26,-1.7210455283134252e-11
27,-2.912092789131293e-11
28,-2.354871853071927e-11
29,-2.7764457399825915e-12
