,R^2
0,0.09771408224284595
1,0.11300892585538913
2,0.11083566372083065
3,0.12391279199015792
4,0.10092362533324972
5,0.07116768722653155
6,0.07973650073460892
7,0.142468625037384
8,0.1117092009806192
9,0.10308657901183949
10,0.08545387807963578
11,0.0839720829210664
12,0.08371172372474278
13,0.07192554078394597
14,0.07018382996726191
15,0.12886124393433862
16,0.11992002988961492
17,0.09383618278136774
18,0.12477884889512825
19,0.1105636011336345
20,0.07310532260873936
21,0.08343773194480886
22,0.1166098714674143
23,0.0864787984237797
24,0.06671643378086811
25,0.04060285043230649
26,0.10144652619455719
27,0.11535952497069968
28,0.12007354024902628
29,0.11694060227225911
