,R^2
0,0.012305378580998783
1,0.01266340721754311
2,0.009945229021675495
3,0.011013938603324114
4,0.009736806799312103
5,0.010077974693452285
6,0.010124593002827753
7,0.007155032007668982
8,0.013083829348422782
9,0.015906686932903424
10,0.015361444016925963
11,0.010071811059882863
12,0.015438802471240631
13,0.009912333441877808
14,0.010170402606089257
15,0.011223012118646514
16,0.011958754288801998
17,0.010135476253922082
18,0.008715074318162763
19,0.009374236658572288
20,0.009290912221819658
21,0.013139637381198055
22,0.012247459731377863
23,0.011180121466119797
24,0.004850370601699794
25,0.014125738045429936
26,0.005441420044081546
27,0.008996822849937303
28,0.01205531068517085
29,0.011191185227123701
