,R^2
0,0.02683291061883819
1,0.02104474994844663
2,0.029414659008849764
3,0.014289891102685859
4,0.0037244353191031587
5,0.015469579439387982
6,0.018463795281375428
7,0.014742904685134506
8,0.010444051298477253
9,0.011510084422178823
10,0.028466313015122258
11,0.011097977101168777
12,0.018368615515018782
13,0.021610526541536723
14,0.021097494200896016
15,0.004840390615282741
16,0.01578774433125396
17,0.027993511422537587
18,0.0029589202026970574
19,0.02493557772216426
20,0.027778164591591215
21,0.01597667523431512
22,0.02392620393972067
23,0.005493574361841724
24,0.0026049745286008674
25,0.031058914914376845
26,0.014382007444958878
27,0.02092108011797389
28,0.0127799974792977
29,0.0008206786452643611
