,R^2
0,0.00012593648813641334
1,0.0001431752017934107
2,0.0034249780853931044
3,0.00017540987588782198
4,0.0006532048478419261
5,0.0001632358681646906
6,0.0001808475197052628
7,0.0004942248119614856
8,0.001203368363777213
9,0.0001740506667230468
10,0.0005240440346426789
11,0.00012887275571626944
12,0.00013789429959021327
13,0.00028092014218072947
14,0.00019934105996710638
15,0.00016605082813869743
16,0.00013216847463437542
17,0.0001408907687150407
18,0.00027495564965274166
19,0.00013653002673197356
20,0.0004255413943503594
21,0.0014668179334736964
22,0.00013635079873286493
23,0.00018791521628280794
24,0.000728906203120272
25,0.0001485090219228713
26,0.00017450627529225216
27,0.0003406596309266652
28,0.00030055292493047503
29,0.00023044045110320877
