,R^2
0,0.01968464765549749
1,0.016290315229522734
2,0.013788360441423286
3,0.027792737097649733
4,0.021406131275378715
5,0.011671734206756712
6,0.02128589802289338
7,0.022097270530978985
8,0.011639744970387556
9,0.014242655731788734
10,0.012158870239393549
11,0.018112906233059944
12,0.02325239835048487
13,0.019056848262011483
14,0.02541609597824901
15,0.024951861503606843
16,0.013099255157699163
17,0.027402116488158268
18,0.017502832235901433
19,0.014151122820506568
20,0.016121635944416512
21,0.03157196382430505
22,0.015878281216423096
23,0.01850654398280427
24,0.015865013884396983
25,0.01789655361168674
26,0.023902109038034136
27,0.03271261788091662
28,0.02188121144993027
29,0.018041528912720595
