,R^2
0,0.02237364042105716
1,0.014539940608057855
2,0.014665318765107127
3,0.01615018721824557
4,0.03171268215066947
5,0.007119788237666902
6,0.02476740148618739
7,0.02246529079964843
8,0.02860731644682013
9,0.014600378863444008
10,0.02159371863164916
11,0.0178891430220528
12,0.00914938904995899
13,0.021259986846039913
14,0.03398524229008215
15,0.021338249068580728
16,0.01857636265088447
17,0.013380866545132264
18,0.01130689709947652
19,0.02042781786739767
20,0.015562772637302213
21,0.02129743566820541
22,0.023121812475974224
23,0.027540901246542626
24,0.006908754704315734
25,0.010329738396360866
26,0.02500946440827778
27,0.018265370532985048
28,0.009628558583522961
29,0.02022786499410978
