,R^2
0,-0.0002341841631078312
1,-0.00039614567741186324
2,5.942211083420634e-05
3,-0.00011216127823232558
4,-0.0001487267692785732
5,-0.00033074826195200746
6,0.00012832403874618592
7,-2.831146451653943e-05
8,-0.0001518893100378449
9,-7.275759084701683e-05
10,5.940633640988402e-05
11,-9.816900373360582e-05
12,-3.349495523496948e-06
13,4.847718028855308e-05
14,2.7003126106261988e-06
15,-6.318778997238539e-05
16,-5.910275338283366e-05
17,1.491310845003202e-05
18,0.0003214208468702573
19,4.008427281376736e-05
20,-0.00012941761999563095
21,0.00013171373419007537
22,3.4530641777497095e-05
23,-3.3731768529943196e-05
24,-2.415507163100461e-05
25,-7.641522021595293e-05
26,-2.2132033609012502e-05
27,4.100731333989138e-05
28,-0.00011889536709730475
29,0.00013420526379359643
