,R^2
0,0.000733113300412036
1,0.0008582494556743647
2,-0.000155610344814483
3,0.0030694676811632293
4,0.002928385065145922
5,0.0028055454687201387
6,0.0014378683120050972
7,0.003782755815966765
8,0.0030681798061783505
9,0.0020992525222442993
10,0.0025069654424256793
11,0.003008977291410586
12,0.003383045216984848
13,0.003373209828907431
14,0.0022500415747505054
15,0.0019486189334205761
16,0.0029512197514145466
17,0.0023197776481437282
18,0.001564058707309468
19,-0.0003458249214843834
20,0.0026846718142874426
21,0.003550899477364977
22,0.0028354430102437433
23,0.001096621964645661
24,0.002726954726932851
25,0.0028190586969509823
26,0.0034368158193525122
27,0.003828495660141762
28,0.0028320485517460137
29,0.0031067776498360233
