,R^2
0,0.11401830463281593
1,0.09002327175740932
2,0.08976291840533346
3,0.0921601368661783
4,0.060833008787127496
5,0.07829163960072105
6,0.08970438414921622
7,0.08091626633669258
8,0.08264824977188912
9,0.11201092041989202
10,0.09998836695573077
11,0.07640478166011289
12,0.08170080227155385
13,0.08790416615609331
14,0.087837403590599
15,0.08208270689703201
16,0.1169252983947785
17,0.09968927647594095
18,0.07896862580678832
19,0.09435879951616233
20,0.08865389144278346
21,0.08970735780610317
22,0.08550828998721016
23,0.10047841404074631
24,0.0884887231851732
25,0.07623726848705603
26,0.08426903609311509
27,0.05449370568133516
28,0.08851245810075947
29,0.083360126435013
