,R^2
0,0.0025759048149335273
1,0.00271237595226248
2,0.0029689634741121296
3,0.003401250797026467
4,0.0021947119142922134
5,0.002258059315950689
6,0.0026523918962881865
7,0.0022397193320464748
8,0.0035386056467735516
9,0.0031126731932845653
10,0.00277258413201964
11,0.0023351519269504406
12,0.0027769361413823024
13,0.0028025654867032124
14,0.002405954946526956
15,0.0025641273271804765
16,0.003070169271185197
17,0.0018617344839760852
18,0.0021700939901198035
19,0.0034583171721997985
20,0.0030305860507410243
21,0.002298883423911602
22,0.0037428655500080232
23,0.003169243004474409
24,0.002466119403775613
25,0.0025418351979747955
26,0.0024969228677477195
27,0.0030454272635781487
28,0.002369005876102337
29,0.0026901783289615677
